table with row headers in column A and column headers in rows 3 through 4 (leading dots indicate sub-parts)				
Annual Estimates of the Resident Population for Counties in the United States: April 1, 2020 to July 1, 2022				
Geographic Area	April 1, 2020 Estimates Base	Population Estimate (as of July 1)		
.Montgomery County, Mississippi	9,822	9,796	9,704	9,530
.Neshoba County, Mississippi	29,094	28,988	28,863	28,673
.Newton County, Mississippi	21,293	21,255	21,117	21,029
.Noxubee County, Mississippi	10,279	10,228	10,114	9,990
.Oktibbeha County, Mississippi	51,780	51,698	51,808	51,427
.Panola County, Mississippi	33,209	33,171	32,919	32,661
.Pearl River County, Mississippi	56,144	56,198	56,505	57,261
.Perry County, Mississippi	11,514	11,458	11,490	11,368
.Pike County, Mississippi	40,329	40,190	39,957	39,644
.Pontotoc County, Mississippi	31,192	31,194	31,336	31,389
.Prentiss County, Mississippi	25,000	24,962	24,921	24,792
.Quitman County, Mississippi	6,173	6,154	5,911	5,701
.Rankin County, Mississippi	157,026	157,149	158,183	158,979
.Scott County, Mississippi	27,987	27,968	27,650	27,707
.Sharkey County, Mississippi	3,798	3,769	3,648	3,488
.Simpson County, Mississippi	25,950	25,892	25,686	25,587
.Smith County, Mississippi	14,209	14,194	14,191	14,092
.Stone County, Mississippi	18,336	18,332	18,589	18,669
.Sunflower County, Mississippi	25,973	25,853	25,328	24,811
.Tallahatchie County, Mississippi	12,715	12,650	12,302	12,035
.Tate County, Mississippi	28,066	28,117	28,118	28,296
.Tippah County, Mississippi	21,810	21,732	21,614	21,431
.Tishomingo County, Mississippi	18,854	18,843	18,732	18,619
.Tunica County, Mississippi	9,777	9,723	9,652	9,458
.Union County, Mississippi	27,782	27,810	28,001	28,125
.Walthall County, Mississippi	13,882	13,868	13,804	13,761
.Warren County, Mississippi	44,721	44,544	43,450	42,649
.Washington County, Mississippi	44,918	44,631	43,641	42,514
.Wayne County, Mississippi	19,774	19,803	19,712	19,681
.Webster County, Mississippi	9,924	9,901	9,981	9,993
.Wilkinson County, Mississippi	8,586	8,524	8,288	8,143
.Winston County, Mississippi	17,709	17,683	17,608	17,543
.Yalobusha County, Mississippi	12,487	12,443	12,409	12,364
.Yazoo County, Mississippi	26,748	26,671	26,432	25,948
.Adair County, Missouri	25,315	25,269	25,179	25,165
.Andrew County, Missouri	18,128	18,098	18,009	18,003
.Atchison County, Missouri	5,306	5,308	5,227	5,182
.Audrain County, Missouri	24,964	24,798	24,824	24,434
.Barry County, Missouri	34,533	34,541	34,733	34,926
.Barton County, Missouri	11,625	11,608	11,649	11,694
.Bates County, Missouri	16,032	16,045	16,084	16,177
.Benton County, Missouri	19,395	19,424	19,916	20,224
.Bollinger County, Missouri	10,572	10,559	10,578	10,518
.Boone County, Missouri	183,607	184,035	186,075	187,690
.Buchanan County, Missouri	84,798	84,460	83,655	82,911
.Butler County, Missouri	42,128	42,059	42,150	42,179
.Caldwell County, Missouri	8,813	8,824	8,896	8,933
.Callaway County, Missouri	44,290	44,337	44,667	44,762
.Camden County, Missouri	42,746	42,802	43,527	43,768
.Cape Girardeau County, Missouri	81,707	81,811	82,147	82,899
.Carroll County, Missouri	8,497	8,468	8,403	8,423
.Carter County, Missouri	5,201	5,202	5,339	5,268
.Cass County, Missouri	107,816	108,145	109,751	110,394
.Cedar County, Missouri	14,187	14,210	14,518	14,601
.Chariton County, Missouri	7,409	7,384	7,361	7,386
.Christian County, Missouri	88,846	89,284	91,541	93,114
.Clark County, Missouri	6,640	6,661	6,738	6,723
.Clay County, Missouri	253,322	254,112	255,860	257,033
.Clinton County, Missouri	21,182	21,210	21,258	21,328
.Cole County, Missouri	77,284	76,614	76,631	76,969
.Cooper County, Missouri	17,108	16,648	16,672	16,772
.Crawford County, Missouri	23,059	23,037	22,818	22,659
.Dade County, Missouri	7,571	7,587	7,600	7,660
.Dallas County, Missouri	17,070	17,130	17,371	17,626
.Daviess County, Missouri	8,426	8,425	8,385	8,435
.DeKalb County, Missouri	11,039	11,610	11,708	11,336
.Dent County, Missouri	14,419	14,389	14,428	14,467
.Douglas County, Missouri	11,575	11,604	11,754	11,975
.Dunklin County, Missouri	28,286	28,217	27,751	27,406
.Franklin County, Missouri	104,688	104,853	105,328	105,879
.Gasconade County, Missouri	14,794	14,760	14,791	14,768
.Gentry County, Missouri	6,165	6,134	6,169	6,253
.Greene County, Missouri	298,915	299,312	301,118	303,293
.Grundy County, Missouri	9,814	9,761	9,761	9,838
.Harrison County, Missouri	8,158	8,156	8,170	8,199
.Henry County, Missouri	21,946	21,974	22,221	22,438
.Hickory County, Missouri	8,277	8,301	8,594	8,630
.Holt County, Missouri	4,226	4,184	4,241	4,262
.Howard County, Missouri	10,148	10,151	10,128	10,168
.Howell County, Missouri	39,748	39,793	39,980	40,631
.Iron County, Missouri	9,537	9,514	9,421	9,414
.Jackson County, Missouri	717,206	717,572	717,616	716,531
.Jasper County, Missouri	122,750	122,878	123,325	124,075
.Jefferson County, Missouri	226,572	226,927	227,934	229,336
.Johnson County, Missouri	54,007	54,018	54,170	54,368
.Knox County, Missouri	3,745	3,739	3,787	3,776
.Laclede County, Missouri	36,042	36,044	36,135	36,313
.Lafayette County, Missouri	32,994	33,062	32,832	32,961
.Lawrence County, Missouri	37,995	37,977	38,268	38,683
.Lewis County, Missouri	10,036	10,039	9,986	9,891
.Lincoln County, Missouri	59,577	59,849	61,654	63,155
.Linn County, Missouri	11,870	11,852	11,843	11,820
.Livingston County, Missouri	14,546	13,988	14,223	14,402
.McDonald County, Missouri	23,308	23,286	23,428	23,588
.Macon County, Missouri	15,212	15,197	15,167	15,049
.Madison County, Missouri	12,627	12,626	12,671	12,753
.Maries County, Missouri	8,430	8,452	8,422	8,431
.Marion County, Missouri	28,527	28,480	28,502	28,438
.Mercer County, Missouri	3,537	3,513	3,469	3,437
.Miller County, Missouri	24,726	24,770	24,943	25,403
.Mississippi County, Missouri	12,575	12,130	12,129	11,688
.Moniteau County, Missouri	15,477	15,213	15,284	15,220
.Monroe County, Missouri	8,662	8,686	8,720	8,652
.Montgomery County, Missouri	11,319	11,287	11,429	11,470
.Morgan County, Missouri	21,000	20,990	21,417	21,785
.New Madrid County, Missouri	16,435	16,331	16,024	15,695
.Newton County, Missouri	58,644	58,684	59,437	60,011
.Nodaway County, Missouri	21,240	21,000	20,984	20,670
.Oregon County, Missouri	8,641	8,611	8,639	8,732
.Osage County, Missouri	13,281	13,265	13,409	13,399
.Ozark County, Missouri	8,556	8,520	8,774	8,940
.Pemiscot County, Missouri	15,661	15,585	15,225	14,841
.Perry County, Missouri	18,954	18,969	18,956	18,858
.Pettis County, Missouri	42,984	43,001	43,206	43,353
.Phelps County, Missouri	44,640	44,560	44,949	45,313
.Pike County, Missouri	17,590	17,408	17,602	17,664
.Platte County, Missouri	106,718	107,168	108,720	110,534
.Polk County, Missouri	31,521	31,612	32,089	32,693
.Pulaski County, Missouri	53,958	54,017	53,850	53,941
.Putnam County, Missouri	4,680	4,690	4,696	4,666
.Ralls County, Missouri	10,355	10,357	10,378	10,420
.Randolph County, Missouri	24,713	24,454	24,569	24,622
.Ray County, Missouri	23,160	23,129	23,061	23,107
.Reynolds County, Missouri	6,093	6,077	6,082	6,006
.Ripley County, Missouri	10,678	10,670	10,619	10,703
.St. Charles County, Missouri	405,262	406,385	410,511	413,803
.St. Clair County, Missouri	9,287	9,351	9,404	9,576
.Ste. Genevieve County, Missouri	18,479	18,474	18,571	18,644
.St. Francois County, Missouri	66,926	66,437	67,057	66,969
.St. Louis County, Missouri	1,004,310	1,003,056	998,227	990,414
.Saline County, Missouri	23,319	23,323	23,241	23,007
.Schuyler County, Missouri	4,034	4,010	4,021	4,002
.Scotland County, Missouri	4,709	4,699	4,679	4,643
.Scott County, Missouri	38,058	38,020	37,856	37,840
.Shannon County, Missouri	7,027	7,028	7,085	7,193
.Shelby County, Missouri	6,104	6,088	5,957	5,982
.Stoddard County, Missouri	28,674	28,644	28,482	28,377
.Stone County, Missouri	31,077	31,206	31,605	32,136
.Sullivan County, Missouri	5,999	5,987	5,916	5,840
.Taney County, Missouri	56,058	56,057	56,334	56,821
.Texas County, Missouri	24,495	24,326	24,893	25,336
.Vernon County, Missouri	19,710	19,669	19,605	19,651
.Warren County, Missouri	35,538	35,740	36,529	37,260
.Washington County, Missouri	23,514	23,416	23,444	23,441
.Wayne County, Missouri	10,973	10,933	10,907	10,792
.Webster County, Missouri	39,085	39,002	39,580	40,335
.Worth County, Missouri	1,967	1,962	1,969	1,955
.Wright County, Missouri	18,187	18,211	18,640	19,156
.St. Louis city, Missouri	301,574	300,483	293,562	286,578
.Beaverhead County, Montana	9,374	9,381	9,532	9,719
.Big Horn County, Montana	13,127	13,082	12,932	12,851
.Blaine County, Montana	7,042	7,005	6,982	6,936
.Broadwater County, Montana	6,773	6,857	7,323	7,793
.Carbon County, Montana	10,476	10,510	10,862	11,179
.Carter County, Montana	1,415	1,408	1,410	1,382
.Cascade County, Montana	84,413	84,402	84,498	84,864
.Chouteau County, Montana	5,896	5,895	5,916	5,898
.Custer County, Montana	11,867	11,863	11,971	12,032
.Daniels County, Montana	1,657	1,653	1,669	1,628
.Dawson County, Montana	8,943	8,923	8,866	8,830
.Deer Lodge County, Montana	9,424	9,420	9,506	9,510
.Fallon County, Montana	3,049	3,028	2,984	3,011
.Fergus County, Montana	11,443	11,469	11,609	11,663
.Flathead County, Montana	104,349	104,862	108,725	111,814
.Gallatin County, Montana	118,957	119,585	123,051	124,857
.Garfield County, Montana	1,170	1,170	1,210	1,218
.Glacier County, Montana	13,771	13,737	13,743	13,681
.Golden Valley County, Montana	824	821	818	835
.Granite County, Montana	3,306	3,308	3,355	3,502
.Hill County, Montana	16,304	16,263	16,175	16,068
.Jefferson County, Montana	12,081	12,140	12,472	12,826
.Judith Basin County, Montana	2,021	2,025	2,052	2,105
.Lake County, Montana	31,132	31,246	32,075	32,853
.Lewis and Clark County, Montana	70,967	71,168	72,503	73,832
.Liberty County, Montana	1,959	1,956	1,934	1,972
.Lincoln County, Montana	19,678	19,739	20,571	21,525
.McCone County, Montana	1,728	1,730	1,711	1,709
.Madison County, Montana	8,626	8,660	8,944	9,265
.Meagher County, Montana	1,926	1,922	1,960	2,013
.Mineral County, Montana	4,529	4,565	4,868	5,058
.Missoula County, Montana	117,924	118,337	119,806	121,041
.Musselshell County, Montana	4,732	4,745	4,912	5,197
.Park County, Montana	17,193	17,224	17,531	17,790
.Petroleum County, Montana	496	500	522	524
.Phillips County, Montana	4,215	4,208	4,216	4,240
.Pondera County, Montana	5,905	5,879	6,018	6,078
.Powder River County, Montana	1,694	1,693	1,707	1,725
.Powell County, Montana	6,944	6,941	7,012	7,051
.Prairie County, Montana	1,093	1,093	1,101	1,107
.Ravalli County, Montana	44,172	44,409	46,125	47,298
.Richland County, Montana	11,493	11,531	11,342	11,237
.Roosevelt County, Montana	10,792	10,794	10,808	10,572
.Rosebud County, Montana	8,331	8,305	8,077	8,088
.Sanders County, Montana	12,403	12,463	12,975	13,442
.Sheridan County, Montana	3,542	3,536	3,569	3,564
.Silver Bow County, Montana	35,128	35,201	35,554	36,068
.Stillwater County, Montana	8,959	8,997	9,026	9,177
.Sweet Grass County, Montana	3,677	3,670	3,705	3,715
.Teton County, Montana	6,230	6,256	6,282	6,368
.Toole County, Montana	4,973	4,970	5,010	5,082
.Treasure County, Montana	759	758	769	758
.Valley County, Montana	7,577	7,556	7,556	7,513
.Wheatland County, Montana	2,077	2,083	2,045	2,032
.Wibaux County, Montana	939	937	935	919
.Yellowstone County, Montana	164,722	165,196	167,397	169,852
.Adams County, Nebraska	31,202	31,177	30,990	30,970
.Antelope County, Nebraska	6,292	6,278	6,292	6,293
.Arthur County, Nebraska	433	432	441	433
.Banner County, Nebraska	674	677	689	660
.Blaine County, Nebraska	432	431	461	453
.Boone County, Nebraska	5,377	5,359	5,400	5,385
.Box Butte County, Nebraska	10,841	10,826	10,647	10,672
.Boyd County, Nebraska	1,814	1,805	1,786	1,741
.Brown County, Nebraska	2,902	2,902	2,912	2,872
.Buffalo County, Nebraska	50,089	50,195	50,310	50,586
.Burt County, Nebraska	6,727	6,721	6,706	6,755
.Butler County, Nebraska	8,360	8,345	8,425	8,427
.Cass County, Nebraska	26,598	26,601	27,071	27,122
.Cedar County, Nebraska	8,378	8,372	8,325	8,371
.Chase County, Nebraska	3,894	3,887	3,829	3,772
.Cherry County, Nebraska	5,455	5,454	5,447	5,464
.Cheyenne County, Nebraska	9,468	9,486	9,502	9,511
.Clay County, Nebraska	6,105	6,105	6,047	6,049
.Colfax County, Nebraska	10,581	10,557	10,474	10,444
.Cuming County, Nebraska	9,010	9,008	8,972	8,929
.Custer County, Nebraska	10,543	10,493	10,476	10,476
.Dakota County, Nebraska	21,587	21,552	21,256	21,042
.Dawes County, Nebraska	8,195	8,150	8,131	8,241
.Dawson County, Nebraska	24,111	24,086	23,934	23,884
.Deuel County, Nebraska	1,837	1,831	1,857	1,902
.Dixon County, Nebraska	5,598	5,582	5,546	5,464
.Dodge County, Nebraska	37,171	37,110	37,120	36,997
.Douglas County, Nebraska	584,522	585,386	585,467	586,327
.Dundy County, Nebraska	1,657	1,654	1,630	1,590
.Fillmore County, Nebraska	5,557	5,572	5,555	5,553
.Franklin County, Nebraska	2,890	2,890	2,891	2,873
.Frontier County, Nebraska	2,519	2,504	2,555	2,633
.Furnas County, Nebraska	4,633	4,626	4,611	4,575
.Gage County, Nebraska	21,706	21,653	21,611	21,583
.Garden County, Nebraska	1,872	1,886	1,833	1,837
.Garfield County, Nebraska	1,815	1,807	1,832	1,801
.Gosper County, Nebraska	1,894	1,895	1,819	1,808
.Grant County, Nebraska	613	615	577	576
.Greeley County, Nebraska	2,186	2,175	2,184	2,227
.Hall County, Nebraska	62,893	62,760	62,092	62,097
.Hamilton County, Nebraska	9,431	9,404	9,382	9,429
.Harlan County, Nebraska	3,076	3,057	3,097	3,054
.Hayes County, Nebraska	856	853	841	849
.Hitchcock County, Nebraska	2,616	2,622	2,594	2,598
.Holt County, Nebraska	10,137	10,113	10,081	10,043
.Hooker County, Nebraska	711	706	731	686
.Howard County, Nebraska	6,472	6,484	6,519	6,515
.Jefferson County, Nebraska	7,242	7,259	7,160	7,154
.Johnson County, Nebraska	5,287	5,292	5,335	5,287
.Kearney County, Nebraska	6,677	6,681	6,662	6,690
.Keith County, Nebraska	8,331	8,325	8,298	8,269
.Keya Paha County, Nebraska	768	759	787	787
.Kimball County, Nebraska	3,438	3,411	3,405	3,315
.Knox County, Nebraska	8,405	8,396	8,436	8,336
.Lancaster County, Nebraska	322,615	323,144	323,420	324,756
.Lincoln County, Nebraska	34,680	34,534	34,078	33,685
.Logan County, Nebraska	718	715	684	675
.Loup County, Nebraska	603	603	598	599
.McPherson County, Nebraska	400	397	382	372
.Madison County, Nebraska	35,584	35,521	35,360	35,368
.Merrick County, Nebraska	7,659	7,655	7,670	7,721
.Morrill County, Nebraska	4,555	4,553	4,573	4,527
.Nance County, Nebraska	3,377	3,390	3,380	3,326
.Nemaha County, Nebraska	7,076	7,085	7,000	7,035
.Nuckolls County, Nebraska	4,096	4,090	4,063	4,041
.Otoe County, Nebraska	15,907	15,897	16,008	16,198
.Pawnee County, Nebraska	2,545	2,536	2,540	2,528
.Perkins County, Nebraska	2,861	2,863	2,822	2,829
.Phelps County, Nebraska	8,964	8,972	8,933	8,988
.Pierce County, Nebraska	7,315	7,340	7,316	7,332
.Platte County, Nebraska	34,294	34,283	34,282	34,296
.Polk County, Nebraska	5,209	5,212	5,159	5,166
.Red Willow County, Nebraska	10,705	10,686	10,639	10,573
.Richardson County, Nebraska	7,870	7,860	7,783	7,705
.Rock County, Nebraska	1,264	1,266	1,271	1,245
.Saline County, Nebraska	14,291	14,242	14,052	14,116
.Sarpy County, Nebraska	190,597	191,157	193,798	196,553
.Saunders County, Nebraska	22,280	22,372	22,798	23,118
.Scotts Bluff County, Nebraska	36,084	36,036	35,828	35,603
.Seward County, Nebraska	17,608	17,614	17,584	17,692
.Sheridan County, Nebraska	5,134	5,104	5,086	4,996
.Sherman County, Nebraska	2,959	2,956	2,953	2,980
.Sioux County, Nebraska	1,135	1,144	1,151	1,127
.Stanton County, Nebraska	5,843	5,822	5,797	5,717
.Thayer County, Nebraska	5,032	5,019	4,906	4,885
.Thomas County, Nebraska	668	670	676	671
.Thurston County, Nebraska	6,769	6,752	6,595	6,507
.Valley County, Nebraska	4,055	4,055	4,074	4,073
.Washington County, Nebraska	20,865	20,928	20,993	21,167
.Wayne County, Nebraska	9,698	9,694	9,843	9,871
.Webster County, Nebraska	3,396	3,390	3,393	3,336
.Wheeler County, Nebraska	772	775	787	785
.York County, Nebraska	14,128	14,103	14,248	14,354
.Churchill County, Nevada	25,516	25,568	25,671	25,843
.Clark County, Nevada	2,265,469	2,274,734	2,295,194	2,322,985
.Douglas County, Nevada	49,484	49,522	49,969	49,628
.Elko County, Nevada	53,703	53,670	53,811	54,046
.Esmeralda County, Nevada	729	732	733	744
.Eureka County, Nevada	1,853	1,853	1,909	1,863
.Humboldt County, Nevada	17,288	17,276	17,591	17,272
.Lander County, Nevada	5,732	5,726	5,762	5,766
.Lincoln County, Nevada	4,505	4,448	4,433	4,482
.Lyon County, Nevada	59,240	59,466	60,927	61,585
.Mineral County, Nevada	4,555	4,557	4,615	4,525
.Nye County, Nevada	51,590	51,960	53,277	54,738
.Pershing County, Nevada	6,651	6,622	6,442	6,462
.Storey County, Nevada	4,098	4,106	4,145	4,170
.Washoe County, Nevada	486,489	487,674	494,281	496,745
.White Pine County, Nevada	9,078	9,051	8,846	8,788
.Carson City, Nevada	58,644	58,683	58,796	58,130
.Belknap County, New Hampshire	63,709	63,775	64,612	64,781
.Carroll County, New Hampshire	50,098	50,235	51,725	52,199
.Cheshire County, New Hampshire	76,455	76,541	76,821	77,350
.Coos County, New Hampshire	31,262	31,227	31,411	31,504
.Grafton County, New Hampshire	91,112	91,177	90,474	91,126
.Hillsborough County, New Hampshire	422,941	422,883	424,496	426,594
.Merrimack County, New Hampshire	153,800	154,022	154,591	156,020
.Rockingham County, New Hampshire	314,182	314,603	318,214	319,424
.Strafford County, New Hampshire	130,895	131,055	131,534	132,275
.Sullivan County, New Hampshire	43,064	43,069	43,627	43,958
.Atlantic County, New Jersey	274,536	274,172	275,130	275,638
.Bergen County, New Jersey	955,746	953,617	954,879	952,997
.Burlington County, New Jersey	461,863	461,648	464,411	466,103
.Camden County, New Jersey	523,486	523,074	524,124	524,907
.Cape May County, New Jersey	95,266	95,040	95,768	95,634
.Cumberland County, New Jersey	154,148	153,692	152,089	151,356
.Essex County, New Jersey	862,782	859,924	854,121	849,477
.Gloucester County, New Jersey	302,285	302,554	304,620	306,601
.Hudson County, New Jersey	724,857	721,832	703,447	703,366
.Hunterdon County, New Jersey	128,962	128,786	129,668	129,777
.Mercer County, New Jersey	387,340	386,441	382,116	380,688
.Middlesex County, New Jersey	863,183	861,314	862,328	861,418
.Monmouth County, New Jersey	643,608	642,771	646,392	644,098
.Morris County, New Jersey	509,277	508,384	510,444	511,151
.Ocean County, New Jersey	637,229	638,422	649,741	655,735
.Passaic County, New Jersey	525,052	523,406	518,345	513,936
.Salem County, New Jersey	64,834	64,842	65,058	65,117
.Somerset County, New Jersey	345,356	344,725	346,331	346,875
.Sussex County, New Jersey	144,231	143,915	145,645	146,084
.Union County, New Jersey	575,352	573,617	572,810	569,815
.Warren County, New Jersey	109,638	109,513	110,494	110,926
.Bernalillo County, New Mexico	676,438	676,803	674,980	672,508
.Catron County, New Mexico	3,582	3,611	3,726	3,827
.Chaves County, New Mexico	65,158	65,148	64,644	63,894
.Cibola County, New Mexico	27,172	27,102	27,238	26,950
.Colfax County, New Mexico	12,385	12,353	12,356	12,246
.Curry County, New Mexico	48,429	48,370	47,960	47,532
.De Baca County, New Mexico	1,697	1,683	1,679	1,693
.Doña Ana County, New Mexico	219,567	220,047	221,655	223,337
.Eddy County, New Mexico	62,314	62,329	60,899	60,400
.Grant County, New Mexico	28,190	28,203	27,892	27,686
.Guadalupe County, New Mexico	4,451	4,440	4,432	4,310
.Harding County, New Mexico	655	655	636	628
.Hidalgo County, New Mexico	4,180	4,166	4,090	4,003
.Lea County, New Mexico	74,455	74,635	73,103	72,452
.Lincoln County, New Mexico	20,273	20,313	20,421	20,411
.Los Alamos County, New Mexico	19,418	19,415	19,340	19,187
.Luna County, New Mexico	25,422	25,447	25,486	25,749
.McKinley County, New Mexico	72,898	72,578	71,484	69,830
.Mora County, New Mexico	4,185	4,192	4,203	4,169
.Otero County, New Mexico	67,843	67,873	68,538	68,823
.Quay County, New Mexico	8,744	8,712	8,624	8,546
.Rio Arriba County, New Mexico	40,359	40,269	40,249	40,048
.Roosevelt County, New Mexico	19,197	19,157	19,017	18,934
.Sandoval County, New Mexico	148,829	149,276	151,439	153,501
.San Juan County, New Mexico	121,663	121,368	120,866	120,418
.San Miguel County, New Mexico	27,203	27,129	27,167	26,953
.Santa Fe County, New Mexico	154,823	155,041	155,404	155,664
.Sierra County, New Mexico	11,574	11,563	11,498	11,436
.Socorro County, New Mexico	16,602	16,558	16,303	16,115
.Taos County, New Mexico	34,488	34,459	34,700	34,580
.Torrance County, New Mexico	15,045	15,054	15,318	15,454
.Union County, New Mexico	4,083	4,072	4,097	3,980
.Valencia County, New Mexico	76,205	76,369	77,233	78,080
.Albany County, New York	314,838	313,987	316,301	315,811
.Allegany County, New York	46,446	47,320	46,921	46,694
.Bronx County, New York	1,472,656	1,461,125	1,421,089	1,379,946
.Broome County, New York	198,675	198,126	198,703	197,117
.Cattaraugus County, New York	77,041	76,992	76,650	76,439
.Cayuga County, New York	76,251	76,198	75,791	74,998
.Chautauqua County, New York	127,675	127,578	126,785	126,027
.Chemung County, New York	84,152	83,945	82,830	81,426
.Chenango County, New York	47,216	47,067	46,637	46,458
.Clinton County, New York	79,839	79,761	79,996	78,753
.Columbia County, New York	61,567	61,403	62,039	61,286
.Cortland County, New York	46,814	46,750	46,489	46,126
.Delaware County, New York	44,302	44,221	44,753	44,740
.Dutchess County, New York	295,897	295,398	298,039	297,545
.Erie County, New York	954,244	952,598	954,350	950,312
.Essex County, New York	37,362	37,326	37,292	36,910
.Franklin County, New York	47,556	47,565	47,040	46,373
.Fulton County, New York	53,322	53,132	53,055	52,669
.Genesee County, New York	58,394	58,313	57,988	57,535
.Greene County, New York	47,933	47,912	48,493	48,061
.Hamilton County, New York	5,102	5,073	5,114	5,118
.Herkimer County, New York	60,143	60,024	60,082	59,822
.Jefferson County, New York	116,723	116,273	117,680	116,637
.Kings County, New York	2,736,075	2,719,044	2,637,486	2,590,516
.Lewis County, New York	26,580	26,551	26,745	26,699
.Livingston County, New York	61,842	61,728	61,629	61,516
.Madison County, New York	68,012	67,927	67,397	67,097
.Monroe County, New York	759,444	757,790	756,547	752,035
.Montgomery County, New York	49,526	49,485	49,611	49,623
.Nassau County, New York	1,395,777	1,390,559	1,391,112	1,383,726
.New York County, New York	1,694,250	1,677,306	1,578,801	1,596,273
.Niagara County, New York	212,650	212,125	211,891	210,880
.Oneida County, New York	232,111	231,575	229,942	228,846
.Onondaga County, New York	476,511	474,316	472,094	468,249
.Ontario County, New York	112,459	112,327	112,660	112,707
.Orange County, New York	401,324	401,088	404,997	405,941
.Orleans County, New York	40,355	40,225	39,711	39,318
.Oswego County, New York	117,533	117,440	118,124	118,287
.Otsego County, New York	58,529	58,377	60,758	60,636
.Putnam County, New York	97,682	97,632	98,176	98,045
.Queens County, New York	2,405,464	2,388,586	2,328,141	2,278,029
.Rensselaer County, New York	161,138	160,900	160,740	159,853
.Richmond County, New York	495,749	494,586	493,484	491,133
.Rockland County, New York	338,329	337,394	339,256	339,022
.St. Lawrence County, New York	108,502	108,554	108,410	107,733
.Saratoga County, New York	235,499	235,794	237,962	238,797
.Schenectady County, New York	158,058	159,315	160,214	160,093
.Schoharie County, New York	29,718	29,752	30,152	30,063
.Schuyler County, New York	17,894	17,863	17,800	17,650
.Seneca County, New York	33,811	33,747	33,576	32,882
.Steuben County, New York	93,577	93,314	93,105	92,599
.Suffolk County, New York	1,525,936	1,521,950	1,533,118	1,525,465
.Sullivan County, New York	78,617	78,605	79,694	79,658
.Tioga County, New York	48,461	48,352	48,087	47,772
.Tompkins County, New York	105,744	99,784	106,044	104,777
.Ulster County, New York	181,856	181,627	183,704	182,319
.Warren County, New York	65,737	65,618	65,773	65,599
.Washington County, New York	61,302	61,202	60,975	60,841
.Wayne County, New York	91,286	91,193	91,201	91,125
.Westchester County, New York	1,004,445	1,001,431	999,607	990,427
.Wyoming County, New York	40,531	40,427	40,017	39,666
.Yates County, New York	24,768	24,720	24,634	24,451
.Alamance County, North Carolina	171,429	171,954	173,876	176,353
.Alexander County, North Carolina	36,440	36,482	36,467	36,512
.Alleghany County, North Carolina	10,886	10,897	11,066	11,185
.Anson County, North Carolina	22,052	22,033	22,254	22,202
.Ashe County, North Carolina	26,581	26,580	26,764	27,110
.Avery County, North Carolina	17,812	17,848	17,502	17,571
.Beaufort County, North Carolina	44,658	44,690	44,438	44,272
.Bertie County, North Carolina	17,934	17,862	17,425	17,240
.Bladen County, North Carolina	29,617	29,629	29,565	29,446
.Brunswick County, North Carolina	136,694	138,157	144,814	153,064
.Buncombe County, North Carolina	269,446	269,694	271,719	273,589
.Burke County, North Carolina	87,573	87,577	87,634	87,881
.Cabarrus County, North Carolina	225,807	227,214	231,726	235,797
.Caldwell County, North Carolina	80,664	80,632	80,561	80,492
.Camden County, North Carolina	10,357	10,407	10,816	11,088
.Carteret County, North Carolina	67,686	67,724	68,718	69,380
.Caswell County, North Carolina	22,738	22,699	22,701	22,614
.Catawba County, North Carolina	160,609	160,892	161,821	163,462
.Chatham County, North Carolina	76,270	76,670	78,111	79,864
.Cherokee County, North Carolina	28,769	28,858	29,195	29,512
.Chowan County, North Carolina	13,705	13,701	13,791	13,940
.Clay County, North Carolina	11,085	11,142	11,350	11,614
.Cleveland County, North Carolina	99,521	99,799	100,318	100,670
.Columbus County, North Carolina	50,625	50,487	49,953	49,885
.Craven County, North Carolina	100,718	100,646	100,277	100,874
.Cumberland County, North Carolina	334,728	334,391	337,249	336,699
.Currituck County, North Carolina	28,103	28,401	29,714	31,015
.Dare County, North Carolina	36,910	37,032	37,889	37,956
.Davidson County, North Carolina	168,933	169,196	170,794	172,586
.Davie County, North Carolina	42,715	42,895	43,614	44,090
.Duplin County, North Carolina	48,705	48,657	48,606	48,990
.Durham County, North Carolina	324,849	325,561	329,699	332,680
.Edgecombe County, North Carolina	48,897	48,777	48,370	48,301
.Forsyth County, North Carolina	382,584	383,166	386,172	389,157
.Franklin County, North Carolina	68,578	69,115	71,798	74,539
.Gaston County, North Carolina	227,942	228,514	231,337	234,215
.Gates County, North Carolina	10,475	10,448	10,403	10,383
.Graham County, North Carolina	8,029	8,035	8,008	7,980
.Granville County, North Carolina	61,001	61,060	61,408	61,903
.Greene County, North Carolina	20,449	20,440	20,261	20,211
.Guilford County, North Carolina	541,309	539,498	542,756	546,101
.Halifax County, North Carolina	48,622	48,521	48,377	47,848
.Harnett County, North Carolina	133,554	133,779	135,669	138,832
.Haywood County, North Carolina	62,097	62,223	62,504	62,609
.Henderson County, North Carolina	116,279	116,541	116,988	118,106
.Hertford County, North Carolina	21,552	21,470	21,172	20,875
.Hoke County, North Carolina	52,081	52,240	53,235	53,787
.Hyde County, North Carolina	4,587	4,551	4,625	4,576
.Iredell County, North Carolina	186,699	187,683	192,227	195,897
.Jackson County, North Carolina	43,107	42,231	42,520	42,955
.Johnston County, North Carolina	215,991	217,787	227,313	234,778
.Jones County, North Carolina	9,173	9,147	9,217	9,233
.Lee County, North Carolina	63,281	63,428	64,097	65,476
